Datum,Infizierungen insgesamt
25.02.2020,1
26.02.2020,2
27.02.2020,4
28.02.2020,25
29.02.2020,30
01.03.2020,92
02.03.2020,90
03.03.2020,107
04.03.2020,129
05.03.2020,302
06.03.2020,361
07.03.2020,377
08.03.2020,484
09.03.2020,524
10.03.2020,642
11.03.2020,801
12.03.2020,1041
13.03.2020,1433
14.03.2020,1636
15.03.2020,2100
16.03.2020,2744
17.03.2020,3374
18.03.2020,4268
19.03.2020,4971
20.03.2020,6257
21.03.2020,6740
22.03.2020,7361
23.03.2020,8224
24.03.2020,9087
25.03.2020,9686
26.03.2020,10872
27.03.2020,12017
28.03.2020,12744
29.03.2020,13630
30.03.2020,14442
31.03.2020,15251
01.04.2020,16343

